date,sentiment,count
2018-04-15,Positive,1
2018-05-10,Negative,1
2018-05-12,Positive,2
2018-05-22,Negative,2
2018-05-28,Positive,1
2018-06-03,Positive,1
2018-06-10,Negative,1
2018-06-12,Positive,2
2018-06-15,Positive,2
2018-06-22,Positive,1
2018-07-08,Neutral,2
2018-07-10,Negative,1
2018-07-10,Neutral,1
2018-07-12,Positive,1
2018-07-15,Positive,1
2018-08-05,Negative,1
2018-08-05,Positive,1
2018-08-07,Positive,1
2018-08-10,Neutral,1
2018-08-18,Negative,2
2018-08-18,Positive,2
2018-08-22,Positive,3
2018-08-28,Positive,1
2018-09-05,Negative,1
2018-09-05,Positive,1
2018-09-10,Negative,1
2018-09-15,Positive,1
2018-09-22,Positive,2
2018-10-12,Positive,1
2018-11-05,Positive,1
2018-11-07,Negative,1
2018-11-28,Negative,1
2018-12-02,Positive,1
2018-12-05,Negative,1
2018-12-05,Positive,1
2018-12-10,Positive,1
2018-12-15,Negative,2
2018-12-15,Positive,1
2019-01-10,Neutral,1
2019-01-15,Positive,1
2019-02-11,Negative,1
2019-02-12,Negative,1
2019-02-25,Negative,1
2019-03-02,Neutral,1
2019-03-02,Positive,1
2019-03-08,Negative,1
2019-03-08,Positive,1
2019-03-22,Positive,1
2019-03-25,Positive,1
2019-03-28,Positive,2
2019-04-05,Neutral,2
2019-04-05,Positive,1
2019-04-15,Positive,1
2019-04-18,Negative,1
2019-04-18,Neutral,1
2019-04-18,Positive,1
2019-04-27,Positive,2
2019-04-30,Neutral,1
2019-05-05,Positive,1
2019-05-08,Negative,1
2019-05-15,Positive,1
2019-06-10,Positive,1
2019-06-15,Positive,1
2019-06-18,Negative,1
2019-06-25,Positive,2
2019-06-28,Neutral,1
2019-06-28,Positive,1
2019-07-02,Positive,1
2019-07-12,Negative,1
2019-07-28,Positive,1
2019-08-05,Negative,1
2019-08-20,Positive,1
2019-08-28,Positive,1
2019-08-30,Positive,1
2019-09-10,Positive,1
2019-09-12,Negative,1
2019-09-14,Neutral,1
2019-09-19,Positive,2
2019-09-28,Neutral,1
2019-09-28,Positive,1
2019-10-08,Negative,1
2019-10-15,Negative,1
2019-10-18,Negative,1
2019-10-18,Positive,1
2019-10-22,Negative,1
2019-10-25,Positive,1
2019-10-28,Positive,2
2019-11-02,Negative,1
2019-11-03,Positive,1
2019-11-05,Positive,1
2019-11-08,Negative,1
2019-11-10,Positive,1
2019-11-11,Positive,1
2019-11-18,Negative,1
2019-11-18,Positive,2
2019-11-24,Positive,1
2019-11-28,Positive,2
2019-11-30,Positive,2
2019-12-03,Positive,1
2019-12-10,Positive,1
2019-12-12,Negative,1
2019-12-28,Negative,1
2020-01-05,Negative,1
2020-01-05,Positive,3
2020-01-12,Positive,2
2020-02-10,Positive,1
2020-02-22,Negative,1
2020-02-28,Positive,1
2020-02-29,Positive,1
2020-03-01,Negative,1
2020-03-05,Neutral,1
2020-03-15,Positive,1
2020-04-02,Negative,1
2020-04-02,Positive,3
2020-04-05,Negative,1
2020-04-12,Positive,2
2020-04-15,Positive,1
2020-04-18,Positive,1
2020-05-11,Neutral,1
2020-05-12,Positive,1
2020-05-15,Positive,1
2020-05-20,Positive,1
2020-05-28,Positive,1
2020-06-05,Negative,1
2020-06-10,Positive,4
2020-06-15,Positive,1
2020-06-20,Negative,1
2020-06-22,Neutral,1
2020-07-08,Positive,2
2020-07-18,Negative,1
2020-07-25,Neutral,1
2020-07-25,Positive,1
2020-08-05,Negative,1
2020-08-08,Positive,1
2020-08-12,Positive,1
2020-08-15,Negative,1
2020-08-18,Positive,1
2020-08-20,Negative,1
2020-08-29,Positive,2
2020-09-03,Negative,1
2020-09-05,Positive,1
2020-09-10,Positive,1
2020-09-15,Negative,1
2020-09-15,Positive,1
2020-09-17,Positive,1
2020-09-18,Positive,2
2020-11-01,Negative,1
2020-11-02,Positive,1
2020-11-11,Neutral,1
2020-11-15,Positive,1
2020-11-18,Positive,1
2020-11-20,Positive,1
2020-11-28,Positive,1
2020-11-29,Positive,1
2020-12-02,Positive,1
2020-12-12,Positive,1
2020-12-15,Positive,2
2020-12-17,Negative,1
2021-01-05,Negative,1
2021-01-15,Positive,4
2021-02-05,Positive,1
2021-02-10,Negative,1
2021-02-12,Negative,1
2021-02-25,Negative,1
2021-02-28,Positive,3
2021-03-02,Negative,1
2021-03-02,Positive,1
2021-03-10,Negative,1
2021-03-15,Negative,1
2021-04-02,Positive,1
2021-04-05,Positive,1
2021-04-15,Positive,2
2021-04-18,Positive,1
2021-05-02,Negative,1
2021-05-08,Positive,1
2021-05-10,Positive,1
2021-05-15,Negative,1
2021-05-20,Positive,1
2021-06-10,Negative,1
2021-06-10,Positive,1
2021-06-19,Positive,1
2021-06-25,Negative,1
2021-07-01,Positive,3
2021-07-03,Negative,1
2021-07-05,Positive,1
2021-07-10,Positive,1
2021-07-20,Positive,2
2021-08-02,Positive,1
2021-08-10,Negative,1
2021-08-10,Positive,1
2021-08-15,Positive,1
2021-08-20,Positive,2
2021-09-05,Negative,1
2021-09-10,Positive,2
2021-09-15,Negative,1
2021-09-20,Neutral,2
2021-10-02,Negative,1
2021-10-08,Positive,1
2021-10-10,Positive,1
2021-10-22,Negative,1
2021-11-07,Positive,1
2021-11-29,Negative,1
2021-11-30,Negative,2
2021-12-01,Negative,1
2021-12-03,Negative,1
2021-12-08,Positive,3
2022-01-05,Negative,1
2022-01-07,Negative,2
2022-01-08,Negative,1
2022-01-08,Positive,1
2022-01-15,Negative,2
2022-01-15,Neutral,1
2022-01-28,Negative,1
2022-02-12,Positive,1
2022-02-15,Positive,2
2022-02-28,Negative,1
2022-02-28,Positive,2
2022-03-12,Positive,1
2022-03-15,Neutral,1
2022-03-20,Negative,1
2022-04-01,Positive,2
2022-04-03,Positive,2
2022-04-05,Negative,1
2022-04-15,Positive,1
2022-04-18,Negative,1
2022-04-18,Positive,1
2022-04-20,Positive,1
2022-05-05,Positive,2
2022-05-08,Positive,1
2022-05-12,Negative,1
2022-05-20,Negative,1
2022-05-20,Positive,1
2022-05-30,Negative,1
2022-06-08,Positive,2
2022-06-20,Positive,2
2022-06-30,Positive,1
2022-07-05,Positive,1
2022-07-08,Negative,1
2022-07-10,Positive,1
2022-07-17,Positive,3
2022-07-20,Positive,1
2022-07-25,Positive,1
2022-08-03,Negative,1
2022-08-05,Negative,1
2022-08-10,Neutral,1
2022-08-10,Positive,1
2022-08-18,Negative,1
2022-09-15,Positive,1
2022-09-28,Negative,1
2022-10-08,Neutral,1
2022-10-22,Positive,1
2022-10-28,Negative,1
2022-10-30,Positive,2
2022-11-15,Positive,1
2022-11-28,Negative,1
2022-12-01,Positive,2
2023-01-07,Negative,1
2023-01-10,Positive,2
2023-01-15,Negative,1
2023-01-15,Neutral,1
2023-01-15,Positive,4
2023-01-16,Negative,1
2023-01-16,Neutral,1
2023-01-16,Positive,1
2023-01-17,Negative,1
2023-01-17,Neutral,2
2023-01-18,Neutral,1
2023-01-18,Positive,2
2023-01-19,Neutral,2
2023-01-19,Positive,1
2023-01-20,Negative,1
2023-01-20,Neutral,1
2023-01-20,Positive,1
2023-01-21,Neutral,2
2023-01-21,Positive,1
2023-01-22,Positive,4
2023-01-23,Positive,2
2023-01-24,Neutral,1
2023-01-24,Positive,2
2023-01-25,Positive,2
2023-01-26,Neutral,2
2023-01-26,Positive,1
2023-01-27,Neutral,3
2023-01-28,Negative,1
2023-01-28,Neutral,1
2023-01-28,Positive,3
2023-01-29,Positive,2
2023-01-30,Neutral,2
2023-01-30,Positive,1
2023-01-31,Positive,3
2023-02-01,Neutral,1
2023-02-01,Positive,1
2023-02-05,Positive,1
2023-02-10,Negative,1
2023-02-10,Positive,1
2023-02-11,Negative,1
2023-02-11,Positive,1
2023-02-12,Negative,2
2023-02-12,Positive,1
2023-02-13,Positive,2
2023-02-14,Positive,3
2023-02-15,Positive,4
2023-02-16,Negative,1
2023-02-16,Positive,2
2023-02-17,Positive,3
2023-02-18,Negative,1
2023-02-18,Positive,2
2023-02-19,Negative,1
2023-02-19,Positive,2
2023-02-20,Negative,2
2023-02-21,Negative,1
2023-02-21,Positive,1
2023-02-22,Negative,1
2023-02-22,Positive,2
2023-02-23,Positive,3
2023-02-24,Positive,3
2023-02-25,Negative,1
2023-02-25,Positive,2
2023-02-26,Negative,1
2023-02-26,Neutral,1
2023-02-26,Positive,1
2023-02-27,Negative,2
2023-02-27,Positive,1
2023-02-28,Negative,1
2023-02-28,Positive,4
2023-03-01,Negative,1
2023-03-01,Positive,2
2023-03-02,Negative,1
2023-03-02,Positive,2
2023-03-03,Negative,1
2023-03-03,Positive,2
2023-03-05,Positive,1
2023-03-10,Negative,1
2023-03-10,Positive,1
2023-03-20,Positive,1
2023-03-22,Negative,1
2023-03-30,Positive,1
2023-04-08,Negative,1
2023-04-10,Positive,1
2023-04-15,Neutral,1
2023-04-18,Negative,2
2023-05-06,Positive,2
2023-05-15,Positive,1
2023-05-20,Positive,1
2023-05-21,Negative,1
2023-05-22,Positive,1
2023-05-23,Negative,1
2023-05-24,Neutral,1
2023-05-25,Neutral,1
2023-05-26,Positive,1
2023-05-27,Neutral,1
2023-05-28,Positive,1
2023-05-29,Neutral,1
2023-05-30,Positive,1
2023-05-31,Neutral,1
2023-06-01,Neutral,1
2023-06-02,Neutral,1
2023-06-03,Positive,1
2023-06-04,Positive,1
2023-06-05,Positive,1
2023-06-06,Neutral,1
2023-06-07,Neutral,1
2023-06-08,Positive,1
2023-06-09,Positive,1
2023-06-10,Neutral,1
2023-06-11,Positive,1
2023-06-12,Positive,1
2023-06-13,Positive,1
2023-06-14,Positive,1
2023-06-15,Neutral,1
2023-06-15,Positive,1
2023-06-16,Positive,1
2023-06-17,Positive,1
2023-06-18,Positive,1
2023-06-19,Positive,1
2023-06-20,Positive,1
2023-06-21,Positive,1
2023-06-22,Positive,1
2023-06-23,Positive,1
2023-06-24,Positive,1
2023-06-25,Neutral,1
2023-06-26,Positive,1
2023-06-27,Positive,1
2023-06-28,Positive,1
2023-06-29,Neutral,1
2023-06-30,Neutral,1
2023-07-01,Positive,1
2023-07-02,Neutral,1
2023-07-03,Positive,1
2023-07-04,Positive,1
2023-07-05,Positive,1
2023-07-06,Positive,1
2023-07-07,Positive,1
2023-07-08,Positive,1
2023-07-09,Neutral,1
2023-07-10,Positive,1
2023-07-11,Neutral,1
2023-07-12,Positive,1
2023-07-13,Positive,1
2023-07-14,Negative,1
2023-07-14,Positive,1
2023-07-15,Positive,1
2023-07-16,Positive,1
2023-07-17,Neutral,1
2023-07-18,Positive,1
2023-07-19,Positive,1
2023-07-20,Positive,1
2023-08-01,Positive,1
2023-08-02,Positive,1
2023-08-03,Negative,1
2023-08-04,Neutral,1
2023-08-05,Neutral,1
2023-08-06,Positive,1
2023-08-07,Negative,1
2023-08-08,Positive,1
2023-08-09,Positive,1
2023-08-10,Positive,1
2023-08-11,Positive,1
2023-08-12,Neutral,1
2023-08-13,Positive,1
2023-08-14,Positive,1
2023-08-15,Positive,1
2023-08-16,Positive,1
2023-08-17,Positive,1
2023-08-18,Negative,1
2023-08-19,Negative,1
2023-08-20,Positive,1
2023-08-21,Positive,1
2023-08-22,Neutral,1
2023-08-23,Negative,1
2023-08-24,Positive,1
2023-08-25,Positive,1
2023-08-26,Negative,1
2023-08-27,Negative,1
2023-08-28,Positive,1
2023-08-29,Neutral,1
2023-08-30,Positive,1
2023-08-31,Positive,1
2023-09-01,Positive,1
2023-09-02,Negative,1
2023-09-03,Positive,3
2023-09-04,Positive,1
2023-09-05,Positive,1
2023-09-06,Positive,1
2023-09-07,Positive,1
2023-09-08,Neutral,1
2023-09-09,Negative,1
2023-09-10,Positive,1
2023-09-11,Positive,1
2023-09-12,Negative,1
2023-09-13,Negative,1
2023-09-14,Negative,1
2023-09-15,Negative,1
2023-09-16,Negative,1
2023-09-17,Positive,1
2023-09-18,Negative,1
2023-09-19,Negative,1
2023-09-20,Negative,1
2023-09-21,Negative,1
2023-09-22,Negative,1
2023-09-23,Negative,1
2023-09-24,Negative,1
2023-09-25,Positive,1
2023-09-26,Negative,1
2023-09-27,Negative,1
2023-09-28,Negative,1
2023-09-29,Negative,1
2023-09-30,Negative,1
2023-10-01,Negative,1
2023-10-02,Neutral,1
2023-10-03,Positive,1
2023-10-04,Positive,1
2023-10-05,Positive,2
2023-10-06,Positive,1
2023-10-07,Positive,1
2023-10-08,Positive,1
2023-10-09,Neutral,1
2023-10-10,Positive,1
2023-10-11,Positive,1
2023-10-12,Positive,2
2023-10-13,Positive,1
2023-10-14,Positive,1
2023-10-15,Positive,1
2023-10-16,Positive,1
2023-10-17,Positive,1
2023-10-18,Positive,1
2023-10-19,Positive,1
2023-10-20,Positive,1
2023-10-21,Positive,1
2023-10-22,Positive,1
